epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.75945,6.8199,16.5267,4.89149,0,0,0,0,3.34613,15.8117,1.93858,0,0,0
2,3.53043,6.99392,22.2642,4.51415,0,0,0,0,3.34064,15.8023,1.93559,3.26407e-06,3.26407e-06,3.26407e-06
3,5.30369,6.91487,10.958,4.72194,0,0,0,0,3.33533,15.7948,1.93269,6.39626e-06,6.39626e-06,6.39626e-06
4,7.06359,6.96849,20.4289,4.41897,0,0,0,0,3.32986,15.7922,1.92971,9.39659e-06,9.39659e-06,9.39659e-06
5,8.81146,6.83171,12.137,4.48003,0,0,0,0,3.32425,15.7899,1.92666,1.22651e-05,1.22651e-05,1.22651e-05
6,10.4871,6.82336,9.05322,4.58699,0,0,0,0,3.31874,15.7849,1.92367,1.50016e-05,1.50016e-05,1.50016e-05
7,12.3092,6.88616,17.9259,4.2283,0,0,0,0,3.31292,15.7785,1.92052,1.76064e-05,1.76064e-05,1.76064e-05
8,14.113,6.86707,8.52025,4.45036,0,0,0,0,3.30712,15.7757,1.91738,2.00792e-05,2.00792e-05,2.00792e-05
9,15.9573,6.90568,19.6364,4.55263,0,0,0,0,3.30086,15.77,1.914,2.24202e-05,2.24202e-05,2.24202e-05
10,17.8117,6.94676,16.7512,4.38162,0,0,0,0,3.29462,15.7644,1.91064,2.46293e-05,2.46293e-05,2.46293e-05
11,19.9941,6.92627,10.4552,4.47499,0,0,0,0,3.28812,15.7615,1.90714,2.67066e-05,2.67066e-05,2.67066e-05
12,22.2802,6.87995,11.4619,4.44049,0,0,0,0,3.28085,15.7555,1.90325,2.8652e-05,2.8652e-05,2.8652e-05
13,24.4115,6.79944,7.25095,4.28545,0,0,0,0,3.27346,15.748,1.89929,3.04655e-05,3.04655e-05,3.04655e-05
14,26.8672,6.83262,16.8172,4.39137,0,0,0,0,3.2655,15.7452,1.89505,3.21472e-05,3.21472e-05,3.21472e-05
15,29.1676,6.86125,8.23355,4.27064,0,0,0,0,3.25697,15.7384,1.8905,3.36969e-05,3.36969e-05,3.36969e-05
16,31.7151,6.96982,11.7702,4.23997,0,0,0,0,3.24791,15.7338,1.88568,3.51149e-05,3.51149e-05,3.51149e-05
17,33.9988,6.81092,7.13241,4.21755,0,0,0,0,3.23833,15.7233,1.8806,3.64009e-05,3.64009e-05,3.64009e-05
18,36.244,6.64328,12.0906,4.30459,0,0,0,0,3.23833,15.7233,1.8806,3.75551e-05,3.75551e-05,3.75551e-05
19,38.6275,6.75328,7.32002,4.28132,0,0,0,0,3.22002,15.7112,1.87087,3.85774e-05,3.85774e-05,3.85774e-05
20,40.3598,6.73807,12.1181,4.40148,0,0,0,0,3.22002,15.7112,1.87087,3.94678e-05,3.94678e-05,3.94678e-05
21,42.1623,6.71147,9.96581,4.17489,0,0,0,0,3.19916,15.6966,1.8598,4.02264e-05,4.02264e-05,4.02264e-05
22,43.8404,6.98735,16.184,4.15521,0,0,0,0,3.19916,15.6966,1.8598,4.08531e-05,4.08531e-05,4.08531e-05
23,45.6615,7.02547,27.6548,4.16037,0,0,0,0,3.1775,15.6803,1.84833,4.13479e-05,4.13479e-05,4.13479e-05
24,47.2964,6.52402,8.87524,4.2926,0,0,0,0,3.1775,15.6803,1.84833,4.17109e-05,4.17109e-05,4.17109e-05
25,49.4248,6.56906,11.6049,4.65591,0,0,0,0,3.15447,15.6622,1.83613,4.1942e-05,4.1942e-05,4.1942e-05
26,51.5759,6.88548,8.71547,4.04052,0,0,0,0,3.15447,15.6622,1.83613,4.20413e-05,4.20413e-05,4.20413e-05
27,53.9551,6.52172,13.6906,3.99422,0,0,0,0,3.12936,15.6431,1.82284,4.20086e-05,4.20086e-05,4.20086e-05
28,56.0936,6.93013,13.2751,4.03206,0,0,0,0,3.12936,15.6431,1.82284,4.18441e-05,4.18441e-05,4.18441e-05
29,58.3059,6.70678,9.74503,4.15917,0,0,0,0,3.10298,15.6305,1.80889,4.15477e-05,4.15477e-05,4.15477e-05
30,60.4276,6.85753,13.9038,4.07243,0,0,0,0,3.10298,15.6305,1.80889,4.11195e-05,4.11195e-05,4.11195e-05
31,62.5567,6.88599,12.218,4.02973,0,0,0,0,3.07692,15.6077,1.79512,4.05594e-05,4.05594e-05,4.05594e-05
32,64.5729,6.64461,9.19292,3.99222,0,0,0,0,3.07692,15.6077,1.79512,3.98674e-05,3.98674e-05,3.98674e-05
33,66.6294,6.66653,7.06455,3.93837,0,0,0,0,3.04924,15.5934,1.78049,3.90436e-05,3.90436e-05,3.90436e-05
34,68.7207,6.82235,8.59468,3.95449,0,0,0,0,3.04924,15.5934,1.78049,3.80879e-05,3.80879e-05,3.80879e-05
35,70.8526,6.45007,8.27748,3.99898,0,0,0,0,3.02104,15.5754,1.76557,3.70003e-05,3.70003e-05,3.70003e-05
36,73.0144,6.50255,7.88118,4.0275,0,0,0,0,3.02104,15.5754,1.76557,3.57809e-05,3.57809e-05,3.57809e-05
37,75.2,6.60049,7.08089,3.89144,0,0,0,0,2.99099,15.5678,1.74968,3.44295e-05,3.44295e-05,3.44295e-05
38,77.3089,6.70001,7.88791,3.90974,0,0,0,0,2.99099,15.5678,1.74968,3.29464e-05,3.29464e-05,3.29464e-05
39,79.3151,6.66954,8.94374,3.95724,0,0,0,0,2.95998,15.5442,1.73328,3.13313e-05,3.13313e-05,3.13313e-05
40,81.4573,6.43533,8.28605,3.99196,0,0,0,0,2.95998,15.5442,1.73328,2.95844e-05,2.95844e-05,2.95844e-05
41,83.3799,6.85159,15.2012,3.96541,0,0,0,0,2.93079,15.5163,1.71783,2.77056e-05,2.77056e-05,2.77056e-05
42,85.3125,6.85584,10.6544,3.83968,0,0,0,0,2.93079,15.5163,1.71783,2.56949e-05,2.56949e-05,2.56949e-05
43,87.2744,6.44538,6.77797,3.8093,0,0,0,0,2.9021,15.4941,1.70264,2.35524e-05,2.35524e-05,2.35524e-05
44,89.0892,6.36557,7.67067,3.92503,0,0,0,0,2.9021,15.4941,1.70264,2.1278e-05,2.1278e-05,2.1278e-05
45,90.9948,6.71675,7.83849,3.89909,0,0,0,0,2.87368,15.4759,1.68759,1.88718e-05,1.88718e-05,1.88718e-05
46,92.8088,6.72166,7.21278,3.83377,0,0,0,0,2.87368,15.4759,1.68759,1.63336e-05,1.63336e-05,1.63336e-05
47,94.6754,6.64831,9.93775,3.7174,0,0,0,0,2.84406,15.4537,1.67187,1.36637e-05,1.36637e-05,1.36637e-05
48,96.5347,6.61222,7.51107,3.76863,0,0,0,0,2.84406,15.4537,1.67187,1.08618e-05,1.08618e-05,1.08618e-05
49,98.4317,6.70511,12.7465,3.71218,0,0,0,0,2.8171,15.4362,1.65755,7.92806e-06,7.92806e-06,7.92806e-06
50,100.262,6.76298,8.92982,3.81397,0,0,0,0,2.8171,15.4362,1.65755,4.86247e-06,4.86247e-06,4.86247e-06
