epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.20648,6.8172,7.64749,4.3607,0,0,0,0,3.3363,15.7956,1.93322,6.66e-06,6.66e-06,6.66e-06
2,8.04135,6.75829,10.4291,4.49635,0,0,0,0,3.32059,15.7863,1.92467,1.65676e-05,1.65676e-05,1.65676e-05
3,12.375,4.64414,13.5958,3.05476,0,0,0,0,3.31039,15.7782,1.91914,2.63763e-05,2.63763e-05,2.63763e-05
4,16.0522,6.88436,8.76888,4.38428,0,0,0,0,3.28691,15.7602,1.90645,3.6086e-05,3.6086e-05,3.6086e-05
5,19.7237,4.57951,11.2503,2.93813,0,0,0,0,3.27491,15.7509,1.9,4.56969e-05,4.56969e-05,4.56969e-05
6,23.38,6.73738,7.41941,4.34497,0,0,0,0,3.24806,15.73,1.88561,5.52089e-05,5.52089e-05,5.52089e-05
7,27.61,6.78388,7.61328,4.31708,0,0,0,0,3.23307,15.7208,1.87762,6.4622e-05,6.4622e-05,6.4622e-05
8,31.4393,6.78947,8.06796,4.1957,0,0,0,0,3.21687,15.7168,1.86901,7.39362e-05,7.39362e-05,7.39362e-05
9,35.3429,6.68811,10.7306,4.33666,0,0,0,0,3.19044,15.6967,1.85498,8.31514e-05,8.31514e-05,8.31514e-05
10,39.5793,6.71326,6.68502,4.146,0,0,0,0,3.16045,15.6692,1.8391,9.22678e-05,9.22678e-05,9.22678e-05
11,43.7054,6.43798,6.59956,4.08829,0,0,0,0,3.12699,15.6467,1.82144,0.000101285,0.000101285,0.000101285
12,47.6378,6.52952,7.12473,4.02698,0,0,0,0,3.0895,15.6302,1.80168,0.000110204,0.000110204,0.000110204
13,51.137,6.32875,6.40667,3.92277,0,0,0,0,3.03259,15.5894,1.77167,0.000119024,0.000119024,0.000119024
14,54.9703,4.97528,10.1069,2.96108,0,0,0,0,2.96911,15.5479,1.73822,0.000127744,0.000127744,0.000127744
15,58.8125,6.3052,6.19551,3.78143,0,0,0,0,2.96911,15.5479,1.73822,0.000136366,0.000136366,0.000136366
